Feature,Importance
URL_Length,0.059364512975051326
HTTPS_token,0.05584244729990383
having_IP_Address,0.05218737964887101
Statistical_report,0.0459128345869415
DNSRecord,0.044964046969402725
on_mouseover,0.043983706461659694
port,0.0430251050528082
Prefix_Suffix,0.04209574381560175
Google_Index,0.04163256590115725
Favicon,0.04110246797774062
RightClick,0.03985140237468337
Links_pointing_to_page,0.03975154320147295
having_Sub_Domain,0.03422547242637714
double_slash_redirecting,0.03350713809481857
Redirect,0.03349262898451326
Shortining_Service,0.033440021380325896
popUpWidnow,0.03281725307880796
Request_URL,0.032421008106701954
Submitting_to_email,0.031156530889764333
Abnormal_URL,0.028867072101938458
Iframe,0.027386831742708485
age_of_domain,0.025252440208402626
having_At_Symbol,0.02473439068841036
Domain_registeration_length,0.017003524309625283
web_traffic,0.016668102959775197
SFH,0.016492988539316192
URL_of_Anchor,0.0163946358692077
SSLfinal_State,0.015997712766142112
Page_Rank,0.015612321485652766
Links_in_tags,0.0148161701022175
